SAMPLE	TOTAL_READS	READS_ON_TARGET	READS_CHRX	%ROI	MEAN_COVERAGE	MEAN_COUNTS	MEAN_ISIZE	SD_ISIZE	MEAN_COVERAGE_X	MEAN_COUNTS_X
RB36999.rmdup.simulated.bam	4669734	2726783	63352	58.3926836089593	339.597	951.905	196.671	67.6695	147.797	393.491
RB36994.rmdup.simulated.bam	5139418	2753469	63760	53.57550212884027	341.25	961.297	208.641	74.1981	148.229	396.025
RB37000.rmdup.simulated.bam	4948424	2929117	130242	59.19292687934583	357.219	1000.31	190.567	64.1142	305.894	808.957
RB37001.rmdup.simulated.bam	5133812	2993922	134656	58.317717906304324	364.307	1021.9	197.747	68.758	314.932	836.373
RB37002.rmdup.simulated.bam	4709349	2718172	61706	57.71863584542152	337.241	949.416	214.97	72.5528	141.939	383.267
RB37003.rmdup.simulated.bam	5334319	3159276	72034	59.22547939109003	392.18	1103.37	210.895	69.1692	166.462	447.416
RB36992.rmdup.simulated.bam	5528636	3051830	134977	55.20041471350257	369.577	1042.48	220.565	81.611	312.274	838.366
RB37004.rmdup.simulated.bam	5339992	3081395	70251	57.70411266533733	382.784	1076.18	213.268	73.2072	162.401	436.342
RB36997.rmdup.simulated.bam	5493350	3110916	137513	56.63058061110251	377.646	1062.69	211.167	78.2785	319.345	854.118
RB36993.rmdup.simulated.bam	5636999	3116658	71666	55.289312628936074	386.035	1088.27	221.625	83.5096	165.433	445.13
